iter	Passed	Remaining
787	5649	1519
788	5656	1512
789	5662	1505
790	5670	1498
791	5678	1491
792	5685	1484
793	5691	1476
794	5698	1469
795	5705	1462
796	5712	1454
797	5718	1447
798	5725	1440
799	5732	1433
800	5739	1425
801	5746	1418
802	5752	1411
803	5759	1404
804	5767	1396
805	5773	1389
806	5782	1382
807	5789	1375
808	5798	1369
809	5806	1361
810	5812	1354
811	5820	1347
812	5828	1340
813	5835	1333
814	5842	1326
815	5848	1318
816	5854	1311
817	5862	1304
818	5868	1297
819	5875	1289
820	5882	1282
821	5889	1275
822	5896	1268
823	5904	1261
824	5911	1253
825	5917	1246
826	5924	1239
827	5931	1232
828	5937	1224
829	5944	1217
830	5951	1210
831	5958	1203
832	5964	1195
833	5973	1188
834	5980	1181
835	5989	1174
836	5996	1167
837	6003	1160
838	6009	1153
839	6016	1146
840	6023	1138
841	6029	1131
842	6036	1124
843	6043	1117
844	6050	1109
845	6056	1102
846	6063	1095
847	6070	1088
848	6077	1080
849	6084	1073
850	6091	1066
851	6097	1059
852	6104	1051
853	6111	1044
854	6118	1037
855	6126	1030
856	6133	1023
857	6139	1016
858	6145	1008
859	6152	1001
860	6159	994
861	6165	987
862	6173	980
863	6180	972
864	6189	965
865	6196	958
866	6202	951
867	6210	944
868	6216	937
869	6223	929
870	6230	922
871	6236	915
872	6243	908
873	6250	901
874	6256	893
875	6263	886
876	6269	879
877	6276	872
878	6283	865
879	6290	857
880	6297	850
881	6303	843
882	6310	836
883	6317	829
884	6324	821
885	6331	814
886	6338	807
887	6345	800
888	6352	793
889	6358	785
890	6365	778
891	6373	771
892	6382	764
893	6389	757
894	6395	750
895	6403	743
896	6409	736
897	6416	728
898	6423	721
899	6429	714
900	6436	707
901	6443	700
902	6449	692
903	6455	685
904	6463	678
905	6469	671
906	6476	664
907	6483	656
908	6489	649
909	6496	642
910	6502	635
911	6508	628
912	6515	620
913	6521	613
914	6528	606
915	6535	599
916	6541	592
917	6548	584
918	6555	577
919	6562	570
920	6568	563
921	6576	556
922	6583	549
923	6592	542
924	6599	535
925	6606	527
926	6612	520
927	6619	513
928	6626	506
929	6633	499
930	6639	492
931	6646	484
932	6653	477
933	6660	470
934	6666	463
935	6673	456
936	6680	449
937	6687	442
938	6694	434
939	6700	427
940	6708	420
941	6714	413
942	6721	406
943	6728	399
944	6735	392
945	6742	384
946	6748	377
947	6755	370
948	6762	363
949	6771	356
950	6780	349
951	6788	342
952	6795	335
953	6801	327
954	6808	320
955	6814	313
956	6821	306
957	6828	299
958	6834	292
959	6841	285
960	6847	277
961	6854	270
962	6860	263
963	6868	256
964	6875	249
965	6882	242
966	6889	235
967	6895	227
968	6902	220
969	6909	213
970	6915	206
971	6921	199
972	6928	192
973	6934	185
974	6941	177
975	6948	170
976	6954	163
977	6961	156
978	6969	149
979	6976	142
980	6983	135
981	6992	128
982	6998	121
983	7005	113
984	7013	106
985	7024	99
986	7032	92
987	7038	85
988	7045	78
989	7051	71
990	7058	64
991	7065	56
992	7071	49
993	7078	42
994	7085	35
995	7093	28
996	7099	21
997	7107	14
998	7114	7
999	7121	0
